epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,924.105,1.5368,2.30718,1.40182,1,1,0.995,0.995,1.62921,1.61542,1.45748,0.00333063,0.00333063,0.00333063
2,1948.89,1.51497,1.48167,1.33787,1,1,0.995,0.995,1.63589,1.52669,1.45532,0.00663098,0.00663098,0.00663098
3,2940.65,1.58372,1.47297,1.39885,1,1,0.995,0.995,1.7932,1.81346,1.66278,0.00989833,0.00989833,0.00989833
4,3935.22,1.60881,1.47777,1.434,1,1,0.995,0.995,1.57536,1.2899,1.45484,0.0098515,0.0098515,0.0098515
5,4927.32,1.54924,1.34333,1.3992,1,1,0.995,0.995,1.49951,1.19838,1.41373,0.009802,0.009802,0.009802
6,5930.5,1.51169,1.26366,1.3717,1,1,0.995,0.995,1.49904,1.14283,1.41189,0.0097525,0.0097525,0.0097525
7,6932.81,1.4899,1.2153,1.34907,1,1,0.995,0.995,1.43451,1.02317,1.36251,0.009703,0.009703,0.009703
8,7921.71,1.46719,1.16776,1.34219,1,1,0.995,0.995,1.42869,0.96796,1.35905,0.0096535,0.0096535,0.0096535
9,8911.9,1.45344,1.13918,1.32871,1,1,0.995,0.995,1.40393,0.97178,1.33037,0.009604,0.009604,0.009604
10,9912.77,1.4374,1.12415,1.32088,1,1,0.995,0.995,1.38422,0.94036,1.32172,0.0095545,0.0095545,0.0095545
11,10909.8,1.42622,1.09411,1.31101,1,1,0.995,0.995,1.3768,0.91643,1.32057,0.009505,0.009505,0.009505
12,11917,1.41715,1.07288,1.30575,1,1,0.995,0.995,1.36475,0.88967,1.31194,0.0094555,0.0094555,0.0094555
13,12919.9,1.40696,1.05224,1.29648,1,1,0.995,0.995,1.35547,0.8776,1.30445,0.009406,0.009406,0.009406
14,13918.8,1.40079,1.03984,1.29459,1,1,0.995,0.995,1.35093,0.86218,1.2982,0.0093565,0.0093565,0.0093565
15,14912.3,1.39862,1.03125,1.29293,1,1,0.995,0.995,1.34649,0.84695,1.29682,0.009307,0.009307,0.009307
16,15912.4,1.38576,1.02044,1.28562,1,1,0.995,0.995,1.33442,0.82879,1.28928,0.0092575,0.0092575,0.0092575
17,16906.6,1.37677,0.99935,1.27994,1,1,0.995,0.995,1.32954,0.82233,1.28678,0.009208,0.009208,0.009208
